Hoarding Code,City,(Area/Zone),Location / Landmark,Facing Direction,Size (Width x Height),Position,Hoarding Type,Illumination,Latitude,Longitude,Ownership,Sq. Ft.,Landlord
MEKN-AH-SR,Mehsana,Khari Nadi,"Opp. RTO, Nr. Palavasana (ONGC) Circle",Mehsana to Ahmedabad,20 x 10,Solo,Hoarding,NL,23.5741581,72.3687207,GOV - MMC,200,MMC
MEKN-AH-ST,Mehsana,Khari Nadi,Nr. Tata Cargo & Mahindra Showroom,Mehsana to Ahmedabad,30 x 30,Solo,Hoarding,NL,23.5724894,72.3693714,LOF,900,LOF
MEKN-ME-S,Mehsana,Khari Nadi,"Nr. Wide Angel Cinema, Mehsana Entrance",Ahmedabad to Mehsana,60 x 40,Solo,Hoarding,NL,23.5778499,72.3666225,Private,2400,Babubhai Mamlatdar
MEKN-ME-L,Mehsana,Khari Nadi,"City Entry, Nr. Himalaya Royal, Opp. Wide Angel Cinema",Ahmedabad to Mehsana,30 x 30,LHS,Hoarding,NL,23.5783157,72.3665484,Private,900,Dineshbhai Shah
MEKN-ME-R,Mehsana,Khari Nadi,"City Entry, Nr. Himalaya Royal, Opp. Wide Angel Cinema",Ahmedabad to Mehsana,30 x 30,RHS,Hoarding,NL,23.5783157,72.3665484,Private,900,Dineshbhai Shah
MENG-ME-L,Mehsana,Nagalpur,"Nr. Wide Angel Cinema, Nr. Nagalpur Cross Road",Ahmedabad to Mehsana,30 x 30,LHS,Hoarding,NL,23.5808468,72.3689745,Private,900,S9 Association
MENG-ME-R,Mehsana,Nagalpur,"Nr. Wide Angel Cinema, Nr. Nagalpur Cross Road",Ahmedabad to Mehsana,30 x 30,RHS,Hoarding,NL,23.5808468,72.3689745,Private,900,S9 Association
MENG-AH-L,Mehsana,Nagalpur,"Nr. Wide Angel Cinema, Nr. Nagalpur Cross Road",Mehsana to Ahmedabad,30 x 30,LHS,Hoarding,NL,23.5808468,72.3689745,Private,900,S9 Association
MENG-AH-R,Mehsana,Nagalpur,"Nr. Wide Angel Cinema, Nr. Nagalpur Cross Road",Mehsana to Ahmedabad,30 x 30,RHS,Hoarding,NL,23.5808468,72.3689745,Private,900,S9 Association
MENG-MC-L,Mehsana,Nagalpur,Nr. Nagalpur College,ONGC Circle to Modhera Circle,20 x 10,LHS,Hoarding,NL,23.5855456,72.3738356,GOV - MMC,200,MMC
MENG-MC-M,Mehsana,Nagalpur,Nr. Nagalpur College,ONGC Circle to Modhera Circle,20 x 10,Middle,Hoarding,NL,23.5855456,72.3738356,GOV - MMC,200,MMC
MENG-MC-R,Mehsana,Nagalpur,Nr. Nagalpur College,ONGC Circle to Modhera Circle,20 x 10,RHS,Hoarding,NL,23.5855456,72.3738356,GOV - MMC,200,MMC
MENG-MC-S,Mehsana,Nagalpur,"Nr. Nagalpur College, Next to Pay and Use Toilet",ONGC Circle to Modhera Circle,20 x 10,Solo,Hoarding,NL,23.5856439,72.3740076,GOV - MMC,200,MMC
MENG-CE-L,Mehsana,Nagalpur,Nagalpur Collage,Collage Entry,20 x 10,LHS,Hoarding,NL,23.5858999,72.3742457,GOV - MMC,200,MMC
MENG-CE-M,Mehsana,Nagalpur,Nagalpur Collage,Collage Entry,20 x 10,Middle,Hoarding,NL,23.5858999,72.3742457,GOV - MMC,200,MMC
